Index,Perplexity
0,3.440230131149292
1,2.5865650177001953
2,2.8166251182556152
3,3.2004079818725586
4,4.422698974609375
5,3.30865740776062
6,2.802747964859009
7,4.023131370544434
8,2.373853921890259
9,4.1105475425720215
10,4.20212984085083
11,2.162066698074341
12,3.7700226306915283
13,2.0665230751037598
14,4.134130477905273
15,6.141953945159912
16,3.982492685317993
17,3.6845970153808594
18,4.972846031188965
19,4.217416763305664
20,2.9682583808898926
21,2.7167322635650635
22,4.228033542633057
23,2.7208962440490723
24,2.644334077835083
25,3.3745696544647217
26,2.7279489040374756
27,3.853097677230835
28,2.1696431636810303
29,2.9298043251037598
30,2.4968135356903076
31,2.5747804641723633
32,8.523099899291992
33,3.161426544189453
34,3.6714835166931152
35,2.6595797538757324
36,2.4238264560699463
37,3.328117609024048
38,2.573296308517456
39,2.2085225582122803
40,2.9475951194763184
41,3.2675154209136963
42,3.0477707386016846
43,3.4358956813812256
44,3.3815319538116455
45,2.8187193870544434
46,4.6451826095581055
47,3.370107650756836
48,3.9849512577056885
49,2.592129707336426
50,2.721266984939575
51,3.621317148208618
52,3.1576876640319824
53,2.5286662578582764
54,3.0390026569366455
55,2.814645528793335
56,8.381945610046387
57,4.135682582855225
58,2.3365375995635986
59,2.4293911457061768
60,9.034603118896484
61,12.179023742675781
62,4.516088962554932
63,2.976551055908203
64,8.715301513671875
65,2.342308521270752
66,3.161491632461548
67,3.6381516456604004
68,3.181594133377075
69,5.043392658233643
70,6.8574981689453125
71,3.5142431259155273
72,3.7464356422424316
73,2.6926236152648926
74,4.037159442901611
75,5.831441402435303
76,5.595686912536621
77,3.707858085632324
78,2.746044635772705
79,8.697521209716797
80,2.775437355041504
81,4.752305030822754
82,2.394212484359741
83,3.9189605712890625
84,5.419328212738037
85,2.46809720993042
86,8.856003761291504
87,3.2674806118011475
88,3.3840365409851074
89,2.127425193786621
90,3.1068968772888184
91,3.4373042583465576
92,2.8956308364868164
93,3.2775795459747314
94,4.493584632873535
95,3.062682628631592
96,2.5170092582702637
97,3.657867670059204
98,2.9214062690734863
99,3.2889487743377686
100,11.299960136413574
101,5.240360736846924
102,2.9399571418762207
103,3.3465576171875
104,3.5165910720825195
105,2.3387813568115234
106,2.8691070079803467
107,3.4799938201904297
108,2.8284659385681152
109,3.9931955337524414
110,4.426759719848633
111,2.7994935512542725
112,2.310361385345459
113,3.0921504497528076
114,3.461655616760254
115,6.480273723602295
116,2.127117156982422
117,6.234253883361816
118,4.247425556182861
119,1.8274701833724976
120,2.8968451023101807
121,2.3224616050720215
122,2.359588146209717
123,4.185013294219971
124,2.3719828128814697
125,4.013082027435303
126,6.365835189819336
127,4.271336078643799
128,2.4631857872009277
129,2.9814393520355225
130,4.692992210388184
131,2.533806562423706
132,2.849862575531006
133,2.5785634517669678
134,3.9048092365264893
135,3.237910270690918
136,3.437685489654541
137,6.847397327423096
138,2.132436513900757
139,3.316685438156128
140,4.706116676330566
141,4.053792476654053
142,11.349440574645996
143,3.132655620574951
144,3.2077386379241943
145,6.1236701011657715
146,2.1742162704467773
147,4.325488567352295
148,3.9354653358459473
149,2.4440205097198486
150,2.8603477478027344
151,2.1006295680999756
152,2.8335776329040527
153,2.6658687591552734
154,2.790686845779419
155,4.538868427276611
156,3.5213727951049805
157,2.9500229358673096
158,3.816499710083008
159,2.1575629711151123
160,2.1954569816589355
161,2.48876953125
162,2.855879068374634
163,3.2965457439422607
164,3.3407516479492188
165,2.8943135738372803
166,3.4668283462524414
167,2.933732748031616
168,2.759800434112549
169,6.1293535232543945
170,7.104384899139404
171,3.969634771347046
172,3.467700958251953
173,3.2117018699645996
174,2.1689798831939697
175,2.265321731567383
176,3.223839282989502
177,1.9051156044006348
178,3.297232151031494
179,3.3426740169525146
180,3.4185984134674072
181,4.503047466278076
182,4.5504865646362305
183,2.384373903274536
184,3.3358089923858643
185,3.9747166633605957
186,3.7984230518341064
187,2.7182934284210205
188,3.3329830169677734
189,2.2957987785339355
190,4.153055191040039
191,2.180874824523926
192,3.8771629333496094
193,1.9998093843460083
194,2.7531261444091797
195,4.958873748779297
196,4.781378269195557
197,1.9987696409225464
198,3.4936158657073975
199,3.10158634185791
