Index,Perplexity
0,3.1742968559265137
1,2.2180423736572266
2,3.1414570808410645
3,5.480989456176758
4,6.215628147125244
5,4.507819175720215
6,2.2029833793640137
7,3.1078641414642334
8,2.5134105682373047
9,3.0153892040252686
10,2.1162545680999756
11,1.8245073556900024
12,2.5605828762054443
13,2.085326671600342
14,2.4567387104034424
15,5.592792510986328
16,2.035388469696045
17,2.1669931411743164
18,2.3279025554656982
19,2.3305094242095947
20,2.037740707397461
21,4.6761674880981445
22,5.214206695556641
23,1.9607938528060913
24,2.4346160888671875
25,2.6404976844787598
26,4.907027244567871
27,2.9576268196105957
28,1.760395884513855
29,2.4135947227478027
30,1.9525816440582275
31,3.146191358566284
32,2.359374523162842
33,2.993157148361206
34,7.390715599060059
35,6.008105278015137
36,2.829263925552368
37,2.8231003284454346
38,2.3663413524627686
39,3.355304718017578
40,2.2264091968536377
41,2.6332850456237793
42,2.4660685062408447
43,2.51348876953125
44,3.301121234893799
45,2.39263653755188
46,2.0828640460968018
47,2.257434606552124
48,3.2750935554504395
49,2.7228939533233643
50,2.2656469345092773
51,3.2023189067840576
52,3.1339306831359863
53,2.5675790309906006
54,3.270494222640991
55,2.5721595287323
56,2.3584234714508057
57,2.2126474380493164
58,5.800427436828613
59,2.441342353820801
60,11.819169044494629
61,13.651219367980957
62,2.4550578594207764
63,8.326606750488281
64,3.20204496383667
65,2.30935001373291
66,3.018437147140503
67,1.9470436573028564
68,3.0791337490081787
69,5.701732635498047
70,2.2559638023376465
71,3.556344747543335
72,2.449907064437866
73,2.9238054752349854
74,3.0308220386505127
75,2.2926743030548096
76,2.43162202835083
77,2.171766519546509
78,1.989125370979309
79,2.5930421352386475
80,2.3944571018218994
81,2.556600332260132
82,4.696619510650635
83,2.30661678314209
84,3.765646457672119
85,2.2477517127990723
86,2.3072195053100586
87,7.463200092315674
88,2.587564468383789
89,2.008594274520874
90,2.614788293838501
91,7.212734699249268
92,3.169649600982666
93,2.6981985569000244
94,2.8172030448913574
95,2.364802122116089
96,4.451756954193115
97,2.0452191829681396
98,3.7544188499450684
99,2.6110212802886963
100,13.254217147827148
101,2.8663101196289062
102,2.322542428970337
103,8.346073150634766
104,2.796067237854004
105,2.1106936931610107
106,5.731877326965332
107,2.4515748023986816
108,3.2524662017822266
109,12.539287567138672
110,2.3028671741485596
111,2.6977338790893555
112,2.061358690261841
113,2.386051893234253
114,4.078916549682617
115,5.237819194793701
116,2.8448545932769775
117,2.3676750659942627
118,2.8644373416900635
119,7.329683780670166
120,4.776865005493164
121,7.333556175231934
122,5.227972030639648
123,19.988140106201172
124,3.0219244956970215
125,2.8048412799835205
126,2.394760847091675
127,8.402722358703613
128,2.7516303062438965
129,2.7683184146881104
130,6.024447441101074
131,2.2336032390594482
132,2.113948106765747
133,2.6137688159942627
134,2.132967233657837
135,2.635296583175659
136,2.867584466934204
137,3.142852544784546
138,2.3871028423309326
139,5.7776360511779785
140,4.977244853973389
141,6.709376811981201
142,9.125351905822754
143,2.218832015991211
144,2.326312303543091
145,26.55401039123535
146,3.5057461261749268
147,8.881622314453125
148,3.703993797302246
149,5.698703765869141
150,2.0154213905334473
151,4.07766056060791
152,3.263320207595825
153,3.2976067066192627
154,3.0420775413513184
155,2.648357391357422
156,3.167567491531372
157,3.747239589691162
158,2.2835233211517334
159,2.2724592685699463
160,2.247830867767334
161,2.33809494972229
162,8.5265531539917
163,2.5552992820739746
164,2.5615227222442627
165,7.325884819030762
166,4.106686592102051
167,3.0363337993621826
168,2.532467842102051
169,8.452762603759766
170,2.1400182247161865
171,2.3665666580200195
172,2.7347147464752197
173,2.983786106109619
174,11.59306526184082
175,2.1118412017822266
176,3.021193265914917
177,7.887725830078125
178,2.2615299224853516
179,5.197400093078613
180,2.0987465381622314
181,2.5449233055114746
182,2.762883424758911
183,6.26659631729126
184,2.510788917541504
185,2.3347549438476562
186,2.9158847332000732
187,2.471870183944702
188,2.4749889373779297
189,2.1457624435424805
190,2.8863468170166016
191,1.9856630563735962
192,10.323219299316406
193,1.7256087064743042
194,2.292646884918213
195,2.816643238067627
196,4.759091854095459
197,2.3352017402648926
198,3.4585230350494385
199,2.400212526321411
